"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;" , ";"MountingHole_2.2mm_M2";2;"MountingHole_2.2mm_M2";;;
2;"J3";"PinSocket_1x05_P2.54mm_Vertical";1;"HC-12";;;
3;"BT1";"BATT";1;"Battery";;;
4;"C1";"CP_Radial_D10.0mm_P5.00mm";1;"100uF";;;
5;"C2";"C_Disc_D3.0mm_W2.0mm_P2.50mm";1;"100nF";;;
6;"D1";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N4001";;;
7;"J1";"PinHeader_1x03_P2.54mm_Vertical";1;"MOISTURE-SENSOR";;;
8;"J2";"PinSocket_1x05_P2.54mm_Vertical";1;"DS3231";;;
9;"J4";"BLUEPILL";1;"BLUEPILL";;;
10;"L1";"BATT";1;"SOLENOID";;;
11;"Q1";"TO-220-3_Vertical";1;"IRLZ44N";;;
12;"R1,R2,R3,R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"10K";;;
13;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"20K";;;
14;"U1";"TO-220-3_Vertical";1;"L7805";;;
15;"U2";"DIP-8_W7.62mm_Socket";1;"LM358";;;
16;"U3";"DIP-8_W7.62mm_Socket";1;"EEPROM";;;
